"Recipient Company","Parent Company","Award Date","Award Type","Grant Amount","Face Loan Amount","Awarding Agency","Program Name","Award Details","Data Source for Award","Facility Name","Facility State","Facility City","Notes","Ownership Structure","Stock Ticker Symbol","Parent Headquarters State","Parent Headquarters Country","Parent Sector","Parent Industry","Parent Total Workforce at end of 2019","Parent Latest Workforce Size","Parent Employment-related Penalties Since 2010","Parent Federal Corporate Income Tax Rate","Parent Total Federal State and Local Subsidies Since 2010","Parent Government-contracting-related Penalties Since 2010","Parent Environmental / Healthcare / Safety Penalties Since 2010","Parent Consumer Protection / Financial / Competition-related Penaties Since 2010","Parent Ratio of CEO Pay to that of Average Worker","CEO Pay","Median Worker Pay","Parent TARP Loans Received During Financial Crisis"
"Port St. Lucie Mgt Llc","Port St. Lucie Mgt Llc","20200506","grant","$509880","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Florida","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Porter Hospital Inc","Porter Hospital Inc","20200506","grant","$1373710","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Vermont","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Porter Hospital Llc","Porter Hospital Llc","20200506","grant","$6417399","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Indiana","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Porter Physician Services Llc","Porter Physician Services Llc","20200506","grant","$778644","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Indiana","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Portercare Adventist Health System","Portercare Adventist Health System","20200506","grant","$13188182","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","non-profit","","Colorado","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Portland Adventist Medical Center","Portland Adventist Medical Center","20200506","grant","$3505401","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","non-profit","","Oregon","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Portsmouth Emergency Ambulance Service Inc","Portsmouth Emergency Ambulance Service Inc","20200506","grant","$1140477","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Kentucky","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Post Acute Enterprises Llc","Post Acute Enterprises Llc","20200506","grant","$1103306","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Texas","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Post Acute Medical At Allen","Post Acute Medical At Allen","20200506","grant","$1001332","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Texas","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Post Acute Medical At Hammond Llc","Post Acute Medical At Hammond Llc","20200506","grant","$729597","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Louisiana","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Post Acute Medical At Luling Llc","Post Acute Medical At Luling Llc","20200506","grant","$674053","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Texas","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Post Acute Medical At Nanticoke","Post Acute Medical At Nanticoke","20200506","grant","$614427","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Pennsylvania","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Post Acute Medical At San Antonio Llc","Post Acute Medical At San Antonio Llc","20200506","grant","$2643067","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Texas","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Post Acute Medical At Victoria Llc","Post Acute Medical At Victoria Llc","20200506","grant","$805915","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Texas","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Post Acute Medical Of New Braunfels","Post Acute Medical Of New Braunfels","20200506","grant","$640985","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Texas","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Post Acute Medical Rehabilitation Hospital Of Corpus Christi","Post Acute Medical Rehabilitation Hospital Of Corpus Christi","20200506","grant","$885887","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Texas","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Post Acute Medical Rehabilitation Hospital Of Tulsa Llc","Post Acute Medical Rehabilitation Hospital Of Tulsa Llc","20200506","grant","$1185995","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Oklahoma","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Potomac Hospital Corporation Of Prince William","Potomac Hospital Corporation Of Prince William","20200506","grant","$3876151","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Virginia","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Potomac Valley Hospital Of W Va Inc","Potomac Valley Hospital Of W Va Inc","20200506","grant","$753751","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","non-profit","","West Virginia","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Pottstown Hospital Llc","Pottstown Hospital Llc","20200506","grant","$3032011","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Pennsylvania","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Pottstown Medical Specialists Inc","Pottstown Medical Specialists Inc","20200506","grant","$654292","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Pennsylvania","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Poudre Valley Health Care Inc","Poudre Valley Health Care Inc","20200506","grant","$7844216","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Colorado","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Poudre Valley Medical Group Llc","Poudre Valley Medical Group Llc","20200506","grant","$5186326","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Wyoming","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Powell Valley Health Care Inc","Powell Valley Health Care Inc","20200506","grant","$772267","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Wyoming","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Ppg Health Pa","Ppg Health Pa","20200506","grant","$763030","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Texas","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Practitioner Support Services Llp","Practitioner Support Services Llp","20200506","grant","$906528","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Pennsylvania","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Prairie Cardiovascular Consultants Ltd","Prairie Cardiovascular Consultants Ltd","20200506","grant","$1039942","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Illinois","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Prairie Du Chien Memorial Hospital Association","Prairie Du Chien Memorial Hospital Association","20200506","grant","$1031155","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Wisconsin","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Prairie Eye Center","Prairie Eye Center","20200506","grant","$705142","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Illinois","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Prairie Lakes Health Care Systems Inc","Prairie Lakes Health Care Systems Inc","20200506","grant","$2378792","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","South Dakota","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Prairie Ridge Health Inc.","Prairie Ridge Health Inc.","20200506","grant","$914249","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Wisconsin","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Praxis Medical Group Inc","Praxis Medical Group Inc","20200506","grant","$688658","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Oregon","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Precipio Inc.","Precipio Inc.","20200423","loan","$0","$787200","Small Business Administration","Paycheck Protection Program","","https://www.sec.gov/Archives/edgar/data/1043961/000110465920051038/tm2016884d1_8k.htm",""," ","","","publicly traded","PRPO","Connecticut","USA","healthcare services","cancer diagnostics","51","0","0","","0","0","0","0","","$913797","$0","0"
"Precision Healthcare Inc","Precision Healthcare Inc","20200506","grant","$1987799","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Tennessee","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Precision Optics Corporation Inc.","Precision Optics Corporation Inc.","20200506","loan","$0","$808862","Small Business Administration","Paycheck Protection Program","","https://www.sec.gov/Archives/edgar/data/867840/000168316820001446/poci_8k.htm",""," ","","","publicly traded","PEYE","Massachusetts","USA","miscellaneous manufacturing","optical instruments","62","0","0","","0","0","0","0","","$640836","$0","0"
"Precision Toxicology Llc","Precision Toxicology Llc","20200506","grant","$1061044","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Massachusetts","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Predictive Oncology Inc.","Predictive Oncology Inc.","20200420","loan","$0","$541867","Small Business Administration","Paycheck Protection Program","","https://www.sec.gov/Archives/edgar/data/1446159/000117184320003175/f8k_043020.htm",""," ","","","publicly traded","POAI","Minnesota","USA","healthcare services","cancer diagnostics","29","0","0","","0","0","0","0","","$242636","$0","0"
"Preferred Care Holdings Llc","Preferred Care Holdings Llc","20200506","grant","$511416","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","New Jersey","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Preferred Podiatry Group Pc","Preferred Podiatry Group Pc","20200506","grant","$1129288","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Illinois","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Premier Dermatology","Premier Dermatology","20200506","grant","$643763","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Florida","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Premier Health Associates Llc","Premier Health Associates Llc","20200506","grant","$552601","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","New Jersey","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Premier Health Management Inc","Premier Health Management Inc","20200506","grant","$935357","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Alabama","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Premier Health Specialists Inc","Premier Health Specialists Inc","20200506","grant","$1428205","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Ohio","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Premier Medical Group Of The Hudson Valley Pc","Premier Medical Group Of The Hudson Valley Pc","20200506","grant","$1102871","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","New York","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Premier Orthopaedic And Sports Medicine Associates Ltd","Premier Orthopaedic And Sports Medicine Associates Ltd","20200506","grant","$1998367","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Pennsylvania","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Premier Surgical Associates Pllc","Premier Surgical Associates Pllc","20200506","grant","$511914","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Tennessee","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Premiere Rehabilitation & Wellness Center Of Lancaster Lp","Premiere Rehabilitation & Wellness Center Of Lancaster Lp","20200506","grant","$693995","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","California","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Presbyterian Homes Inc.","Presbyterian Homes Inc.","20200506","grant","$927733","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Pennsylvania","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Presbyterian Manors Inc","Presbyterian Manors Inc","20200506","grant","$2119085","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Kansas","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Presbyterian Medical Services","Presbyterian Medical Services","20200506","grant","$1312854","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","New Mexico","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Presbyterian Retirement Communities","Presbyterian Retirement Communities","20200506","grant","$1214841","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Florida","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Preston Memorial Hospital Corporation","Preston Memorial Hospital Corporation","20200506","grant","$844463","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","West Virginia","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Preventice Services Llc","Preventice Services Llc","20200506","grant","$3936088","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","California","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Prima Care","Prima Care","20200506","grant","$2194082","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Massachusetts","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Primary Care Of The Treasure Coast","Primary Care Of The Treasure Coast","20200506","grant","$581178","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Florida","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Primary Healthcare Associates Sc","Primary Healthcare Associates Sc","20200506","grant","$629444","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Indiana","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Prime Healthcare Paradise Valley","Prime Healthcare Paradise Valley","20200506","grant","$2907822","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","California","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Prime Healthcare Foundation - Southern Regional Llc","Prime Healthcare Services Inc.","20200506","grant","$1943983","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","California","USA","healthcare services","hospitals","0","0","24053","","749658","63450000","11250","0","","$0","$0","0"
"Prime Healthcare Services Reno Llc","Prime Healthcare Services Inc.","20200506","grant","$6479300","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","California","USA","healthcare services","hospitals","0","0","24053","","749658","63450000","11250","0","","$0","$0","0"
"Saint Michaels Medical Center","Prime Healthcare Services Inc.","20200508","grant","$21289695","$0","Health and Human Services Department","Provider Relief Fund COVID-19 High-Impact Payments","","https://data.cdc.gov/Administrative/Provider-Relief-Fund-COVID-19-High-Impact-Payments/b58h-s9zx",""," ","","","privately held","","California","USA","healthcare services","hospitals","0","0","24053","","749658","63450000","11250","0","","$0","$0","0"
"Prime Home Health Services","Prime Home Health Services","20200506","grant","$1048601","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","New York","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Prince Georges Post Acute Llc","Prince Georges Post Acute Llc","20200506","grant","$1215703","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Maryland","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Prince William H&r Ops Limited Partnership","Prince William H&r Ops Limited Partnership","20200506","grant","$616392","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Virginia","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Princess Anne H&r Ops Limited Partnership","Princess Anne H&r Ops Limited Partnership","20200506","grant","$536031","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Virginia","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Princeton Community Hospital Assn.","Princeton Community Hospital Assn.","20200506","grant","$3067952","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","West Virginia","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Princeton Healthcare Affiliated Physicians Pc","Princeton Healthcare Affiliated Physicians Pc","20200506","grant","$542587","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","New Jersey","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Princeton Healthcare System","Princeton Healthcare System","20200506","grant","$7516666","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","New Jersey","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Princeton Medical Center (FKA University Medical Center of Princeton at Plainsboro)","Princeton Healthcare System","20200508","grant","$16013590","$0","Health and Human Services Department","Provider Relief Fund COVID-19 High-Impact Payments","","https://data.cdc.gov/Administrative/Provider-Relief-Fund-COVID-19-High-Impact-Payments/b58h-s9zx",""," ","","","privately held","","New Jersey","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Princeton Medical Group","Princeton Medical Group","20200506","grant","$1205353","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","New Jersey","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Princeton Radiology Associates Pa","Princeton Radiology Associates Pa","20200506","grant","$770474","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","New Jersey","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Prism Medical Products","Prism Medical Products","20200506","grant","$1958068","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","North Carolina","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
